| Unnamed: 0                                                          | Unnamed: 1                | Unnamed: 2                                                                          | Unnamed: 3   | Unnamed: 4   | Unnamed: 5          | Unnamed: 6   |
|:--------------------------------------------------------------------|:--------------------------|:------------------------------------------------------------------------------------|:-------------|:-------------|:--------------------|:-------------|
| Cliente Fornitore CD                                                | Articolo C                | Articolo D                                                                          | Anni (Data)  | Mesi (Data)  | Data                | Qta Doc      |
| C000004 - ANNIC S.A.S.                                              | PFT604G00060000000        | Puntali fibra vetro gommino art. 604GS-6 EN22568A-s                                 | 2025         | set          | 2025-09-02 00:00:00 | 1000         |
| C000004 - ANNIC S.A.S.                                              | PFT604G00060000000        | Puntali fibra vetro gommino art. 604GS-6 EN22568A-s                                 | 2025         | set          | 2025-09-09 00:00:00 | 400          |
| C000004 - ANNIC S.A.S.                                              | PFT604G00060000000        | Puntali fibra vetro gommino art. 604GS-6 EN22568A-s                                 | 2025         | set Totale   | 2025-09-09 00:00:00 | 1400         |
| C000004 - ANNIC S.A.S.                                              | PFT604G00060000000        | Puntali fibra vetro gommino art. 604GS-6 EN22568A-s                                 | 2025         | nov          | 2025-11-10 00:00:00 | 600          |
| C000004 - ANNIC S.A.S.                                              | PFT604G00060000000        | Puntali fibra vetro gommino art. 604GS-6 EN22568A-s                                 | 2025         | nov Totale   | 2025-11-10 00:00:00 | 600          |
| C000004 - ANNIC S.A.S.                                              | PFT604G00060000000        | Puntali fibra vetro gommino art. 604GS-6 EN22568A-s                                 | 2025 Totale  | nov Totale   | 2025-11-10 00:00:00 | 2000         |
| C000004 - ANNIC S.A.S.                                              | PFT604G00060000000        | Puntali fibra vetro gommino art. 604GS-6 EN22568A-s                                 | 2026         | nov Totale   | 2025-11-10 00:00:00 | 1800         |
| C000004 - ANNIC S.A.S.                                              | PFT604G00060000000        | Puntali fibra vetro gommino art. 604GS-6 EN22568A-s Totale                          | 2026         | nov Totale   | 2025-11-10 00:00:00 | 3800         |
| C000004 - ANNIC S.A.S.                                              | PFT604G00060000000 Totale | Puntali fibra vetro gommino art. 604GS-6 EN22568A-s Totale                          | 2026         | nov Totale   | 2025-11-10 00:00:00 | 3800         |
| C000004 - ANNIC S.A.S.                                              | PFT604G00070000000        | Puntali fibra vetro gommino art. 604GS-7 EN22568A-s                                 | 2025         | set          | 2025-09-02 00:00:00 | 2000         |
| C000004 - ANNIC S.A.S.                                              | PFT604G00070000000        | Puntali fibra vetro gommino art. 604GS-7 EN22568A-s                                 | 2025         | set Totale   | 2025-09-02 00:00:00 | 2000         |
| C000004 - ANNIC S.A.S.                                              | PFT604G00070000000        | Puntali fibra vetro gommino art. 604GS-7 EN22568A-s                                 | 2025 Totale  | set Totale   | 2025-09-02 00:00:00 | 2000         |
| C000004 - ANNIC S.A.S.                                              | PFT604G00070000000        | Puntali fibra vetro gommino art. 604GS-7 EN22568A-s                                 | 2026         | set Totale   | 2025-09-02 00:00:00 | 1800         |
| C000004 - ANNIC S.A.S.                                              | PFT604G00070000000        | Puntali fibra vetro gommino art. 604GS-7 EN22568A-s Totale                          | 2026         | set Totale   | 2025-09-02 00:00:00 | 3800         |
| C000004 - ANNIC S.A.S.                                              | PFT604G00070000000 Totale | Puntali fibra vetro gommino art. 604GS-7 EN22568A-s Totale                          | 2026         | set Totale   | 2025-09-02 00:00:00 | 3800         |
| C000004 - ANNIC S.A.S.                                              | PFT604G00080000000        | Puntali fibra vetro gommino art. 604GS-8 EN22568A-s                                 | 2025         | set          | 2025-09-02 00:00:00 | 7000         |
| C000004 - ANNIC S.A.S.                                              | PFT604G00080000000        | Puntali fibra vetro gommino art. 604GS-8 EN22568A-s                                 | 2025         | set Totale   | 2025-09-02 00:00:00 | 7000         |
| C000004 - ANNIC S.A.S.                                              | PFT604G00080000000        | Puntali fibra vetro gommino art. 604GS-8 EN22568A-s                                 | 2025 Totale  | set Totale   | 2025-09-02 00:00:00 | 7000         |
| C000004 - ANNIC S.A.S.                                              | PFT604G00080000000        | Puntali fibra vetro gommino art. 604GS-8 EN22568A-s                                 | 2026         | set Totale   | 2025-09-02 00:00:00 | 1500         |
| C000004 - ANNIC S.A.S.                                              | PFT604G00080000000        | Puntali fibra vetro gommino art. 604GS-8 EN22568A-s Totale                          | 2026         | set Totale   | 2025-09-02 00:00:00 | 8500         |
| C000004 - ANNIC S.A.S.                                              | PFT604G00080000000 Totale | Puntali fibra vetro gommino art. 604GS-8 EN22568A-s Totale                          | 2026         | set Totale   | 2025-09-02 00:00:00 | 8500         |
| C000004 - ANNIC S.A.S.                                              | PFT604G00090000000        | Puntali fibra vetro gommino art. 604GS-9 EN22568A-s                                 | 2025         | set          | 2025-09-02 00:00:00 | 10000        |
| C000004 - ANNIC S.A.S.                                              | PFT604G00090000000        | Puntali fibra vetro gommino art. 604GS-9 EN22568A-s                                 | 2025         | set Totale   | 2025-09-02 00:00:00 | 10000        |
| C000004 - ANNIC S.A.S.                                              | PFT604G00090000000        | Puntali fibra vetro gommino art. 604GS-9 EN22568A-s                                 | 2025 Totale  | set Totale   | 2025-09-02 00:00:00 | 10000        |
| C000004 - ANNIC S.A.S.                                              | PFT604G00090000000        | Puntali fibra vetro gommino art. 604GS-9 EN22568A-s                                 | 2026         | set Totale   | 2025-09-02 00:00:00 | 1200         |
